"","id1","persons","v98_1","v98_2","persngrp","mailings","phongotv","ward","majpty1","majpty2","age1","age2","placebo","vote98","v98","cntany","pcntany","v96_1","v96_0","age","agemiss","agesq","majorpty","onetreat","onetreat_p"
"1",13696,1,0,0,1,1,0,15,1,1,26,26,0,0,0,0,0,0,1,26,0,676,1,0,0
"2",11930,1,0,0,1,2,0,20,1,1,75,75,0,0,0,0,0,0,1,75,0,5625,1,0,0
"3",14210,1,1,1,1,0,0,15,0,0,54,54,0,1,1,0,0,1,0,54,0,2916,0,1,1
"4",6818,1,0,0,1,0,0,25,0,0,45,45,0,0,0,0,0,0,0,45,0,2025,0,1,1
"5",7423,2,1,1,1,2,1,28,1,1,42,47,0,1,1,0,0,0,0,42,0,1764,1,0,0
"6",10639,1,0,0,1,3,1,15,1,1,20,20,1,0,0,0,0,0,0,20,0,400,1,0,0
"7",13995,2,1,1,1,2,1,25,1,1,39,41,0,1,1,0,1,1,0,39,0,1521,1,0,0
"8",889,2,1,1,1,2,1,18,1,1,64,61,0,1,1,0,0,1,0,64,0,4096,1,0,0
"9",11723,1,99,99,1,1,1,17,0,0,999,999,0,99,0,0,1,0,0,0,1,0,0,0,0
"10",5039,1,0,0,1,0,0,4,1,1,72,72,0,0,0,0,0,1,0,72,0,5184,1,1,1
"11",1375,1,0,0,1,2,1,15,1,1,43,43,0,0,0,0,0,0,0,43,0,1849,1,0,0
"12",16107,1,0,0,1,1,0,15,1,1,30,30,0,0,0,0,0,0,0,30,0,900,1,0,0
"13",3059,1,0,0,1,1,0,17,1,1,90,90,0,0,0,0,0,1,0,90,0,8100,1,0,0
"14",21203,2,0,1,1,0,0,25,0,1,52,50,0,0,0,0,0,0,0,52,0,2704,0,1,1
"15",20246,1,0,0,1,0,0,17,1,1,28,28,0,0,0,0,0,1,0,28,0,784,1,1,1
"16",16342,2,0,0,1,0,0,26,0,0,25,40,0,0,0,0,0,0,0,25,0,625,0,1,1
"17",17334,2,1,1,1,3,0,26,1,1,39,34,0,1,1,0,0,1,0,39,0,1521,1,0,0
"18",13683,2,0,1,1,0,0,15,1,1,31,33,0,0,0,0,0,0,0,31,0,961,1,1,1
"19",14297,2,1,1,1,3,0,5,1,1,33,35,0,1,1,0,0,0,0,33,0,1089,1,0,0
"20",399,1,0,0,1,0,0,17,0,0,30,30,0,0,0,0,0,0,0,30,0,900,0,1,1
"21",4152,1,0,0,1,0,0,26,1,1,30,30,0,0,0,0,0,0,0,30,0,900,1,1,1
"22",16057,2,0,0,1,1,0,12,1,1,40,20,0,0,0,0,0,0,1,40,0,1600,1,0,0
"23",20242,1,0,0,1,0,0,17,0,0,59,59,0,0,0,0,0,0,1,59,0,3481,0,1,1
"24",9283,1,0,0,1,2,1,4,1,1,35,35,0,0,0,0,0,0,1,35,0,1225,1,0,0
"25",13269,1,0,0,1,0,0,15,1,1,27,27,0,0,0,0,0,0,1,27,0,729,1,1,1
"26",12941,2,0,0,1,0,0,18,1,1,45,48,0,0,0,0,0,1,0,45,0,2025,1,1,1
"27",21206,1,0,0,1,0,0,25,0,0,25,25,0,0,0,0,0,1,0,25,0,625,0,1,1
"28",19295,2,1,1,1,0,0,26,0,0,56,57,0,1,1,0,0,1,0,56,0,3136,0,1,1
"29",16082,2,0,0,1,0,0,15,1,1,82,53,0,0,0,0,0,1,0,82,0,6724,1,1,1
"30",16110,1,1,1,1,3,0,15,1,1,51,51,0,1,1,0,0,0,1,51,0,2601,1,0,0
"31",3629,1,1,1,1,1,0,18,1,1,53,53,0,1,1,0,0,0,0,53,0,2809,1,0,0
"32",7503,2,0,0,1,3,0,2,1,1,54,70,0,0,0,0,0,1,0,54,0,2916,1,0,0
"33",13117,1,1,1,1,0,0,4,1,1,82,82,0,1,1,0,0,1,0,82,0,6724,1,1,1
"34",2744,2,1,1,1,0,0,25,1,1,49,49,0,1,1,0,0,1,0,49,0,2401,1,1,1
"35",2525,1,1,1,1,0,0,27,0,0,81,81,0,1,1,0,0,1,0,81,0,6561,0,1,1
"36",7778,1,1,1,1,3,0,27,0,0,77,77,0,1,1,0,0,1,0,77,0,5929,0,0,0
"37",17995,2,99,99,1,0,0,19,1,1,68,42,0,99,0,0,0,1,0,68,0,4624,1,1,1
"38",20063,1,1,1,1,2,0,18,1,1,62,62,0,1,1,0,0,1,0,62,0,3844,1,0,0
"39",20986,2,0,0,1,3,1,5,1,1,46,37,0,0,0,0,0,0,1,46,0,2116,1,0,0
"40",10377,1,0,0,1,2,1,4,1,1,38,38,0,0,0,0,0,0,0,38,0,1444,1,0,0
"41",17357,2,0,0,1,0,0,20,1,1,39,44,0,0,0,0,0,0,0,39,0,1521,1,1,1
"42",18555,1,0,0,1,3,1,28,1,1,999,999,0,0,0,0,0,0,1,0,1,0,1,0,0
"43",1607,1,1,1,1,1,0,22,1,1,68,68,0,1,1,0,0,1,0,68,0,4624,1,0,0
"44",17,2,0,0,1,0,0,4,0,0,50,31,0,0,0,1,0,1,0,50,0,2500,0,1,1
"45",20514,2,0,1,1,2,0,17,1,1,48,45,0,0,0,0,0,0,1,48,0,2304,1,0,0
"46",9913,2,0,0,1,0,0,17,0,0,87,50,0,0,0,1,0,0,1,87,0,7569,0,1,1
"47",21492,2,1,1,1,1,1,25,1,1,48,47,0,1,1,0,1,1,0,48,0,2304,1,0,0
"48",11312,1,0,0,1,2,1,3,1,1,70,70,0,0,0,0,0,0,1,70,0,4900,1,0,0
"49",104,2,1,1,1,0,0,25,0,1,46,53,0,1,1,0,0,0,0,46,0,2116,0,1,1
"50",116,2,0,0,1,0,0,25,1,1,41,30,0,0,0,0,0,0,0,41,0,1681,1,1,1
"51",14308,1,0,0,1,0,0,5,0,0,21,21,0,0,0,0,0,0,1,21,0,441,0,1,1
"52",4530,1,1,1,1,0,0,4,1,1,58,58,0,1,1,0,0,1,0,58,0,3364,1,1,1
"53",7049,1,0,0,1,0,0,17,0,0,36,36,0,0,0,0,0,1,0,36,0,1296,0,1,1
"54",10617,1,1,1,1,0,0,27,1,1,33,33,0,1,1,0,0,1,0,33,0,1089,1,1,1
"55",22970,1,1,1,1,0,0,18,1,1,27,27,0,1,1,0,0,1,0,27,0,729,1,1,1
"56",7620,1,0,0,1,1,0,2,0,0,43,43,0,0,0,0,0,0,0,43,0,1849,0,0,0
"57",20066,2,1,1,1,3,1,18,1,1,55,83,0,1,1,0,0,1,0,55,0,3025,1,0,0
"58",9500,1,0,0,1,0,0,12,0,0,42,42,0,0,0,0,0,1,0,42,0,1764,0,1,1
"59",12026,1,99,99,1,3,0,13,0,0,36,36,0,99,0,0,0,0,1,36,0,1296,0,0,0
"60",9560,1,0,0,1,3,1,17,0,0,38,38,0,0,0,0,0,1,0,38,0,1444,0,0,0
"61",17500,2,0,0,1,0,0,30,1,1,31,27,0,0,0,0,0,0,1,31,0,961,1,1,1
"62",12934,2,0,0,1,3,0,18,1,1,82,87,0,0,0,0,0,0,1,82,0,6724,1,0,0
"63",14324,1,1,1,1,0,0,5,1,1,26,26,0,1,1,0,0,1,0,26,0,676,1,1,1
"64",932,2,1,1,1,2,1,28,0,1,41,48,0,1,1,0,1,1,0,41,0,1681,0,0,0
"65",4208,2,0,0,1,0,0,20,1,1,40,85,0,0,0,0,0,1,0,40,0,1600,1,1,1
